"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,643898.995508789,471660.99263139,332590.850027953,1300601.77806251
"2","b_t",1952,742447.150628568,579722.899689781,362539.710752017,1504152.25117922
"3","b_t",1953,621261.07567815,481668.607930474,303837.810876953,1286160.75167253
"4","b_t",1954,528282.638725368,411864.722860699,261268.068094333,1089019.64651166
"5","b_t",1955,442247.32080766,349131.459456294,212581.717582484,929424.066843073
"6","b_t",1956,448499.071243041,353125.503604824,219122.318302048,951474.001093972
"7","b_t",1957,493104.977619619,393809.333965871,239357.576903125,1034267.20949245
"8","b_t",1958,615877.864760476,484851.984010014,295805.214320495,1298199.463288
"9","b_t",1959,654519.080091465,509745.889378557,312356.824628813,1378766.63487089
"10","b_t",1960,612329.371592327,477948.49611754,298860.649665186,1266273.06731362
"11","b_t",1961,550908.380482089,431260.843679761,266300.74499707,1148918.03253535
"12","b_t",1962,667634.085041716,524558.933872796,321141.98471436,1407659.0395488
"13","b_t",1963,735327.527179833,575270.105699692,351759.232229256,1559304.55595135
"14","b_t",1964,728711.5689509,562116.30026603,350406.357655482,1511334.07997471
"15","b_t",1965,664196.028297543,520271.64706542,322377.98773994,1411150.53106775
"16","b_t",1966,619626.935036243,488278.402031971,302225.888191293,1309719.81387644
"17","b_t",1967,605297.58652626,470468.281868697,294404.385773498,1201000.5102447
"18","b_t",1968,610258.138181772,471773.684438842,299574.857303591,1241490.35883354
"19","b_t",1969,696957.28602837,547266.979486237,340474.364562158,1450098.89562302
"20","b_t",1970,782823.905862567,623434.537766919,380154.149905065,1615847.4079077
"21","b_t",1971,854716.485315691,677025.360272784,411636.246265111,1804323.76982516
"22","b_t",1972,942090.205825524,738528.174896707,459903.380316219,2037063.04200437
"23","b_t",1973,985867.68940788,787008.876310271,474473.458264119,2058197.23883769
"24","b_t",1974,951063.763588209,745738.343765066,468661.61850429,1988222.79132794
"25","b_t",1975,909311.431336345,718093.575157679,443732.958829217,1932214.45018156
"26","b_t",1976,925175.539713482,729859.107009452,451808.319946691,1911179.14982947
"27","b_t",1977,986399.899125108,782510.333745903,479296.840572946,1997019.77750167
"28","b_t",1978,926315.406570726,722676.118476611,445822.222615097,1938702.37324352
"29","b_t",1979,866434.720892096,680427.318220814,423590.756083915,1783106.14379676
"30","b_t",1980,862368.344785766,662404.269587865,423106.200899643,1765741.74254431
"31","b_t",1981,874896.082615385,688790.453053501,425479.387789053,1863568.36838925
"32","b_t",1982,914941.994013195,711781.339848956,447503.672555131,1931063.16426739
"33","b_t",1983,925178.992123565,704532.156200477,459764.357951029,1907523.29557245
"34","b_t",1984,969110.642157295,747724.539262305,475195.10037784,2032666.32184483
"35","b_t",1985,972677.667786979,761991.270466367,474423.260768019,2034262.73046727
"36","b_t",1986,850417.402209935,675199.377708196,415903.579573737,1729777.80591985
"37","b_t",1987,772262.542188624,603817.308674244,376145.061656967,1623843.68544659
"38","b_t",1988,719088.554178834,558951.502021224,355895.8673011,1514992.09697003
"39","b_t",1989,706502.110069983,560447.636122598,344153.375669886,1483726.96161156
"40","b_t",1990,658267.9337301,512460.471683805,324817.983461239,1381689.78288123
"41","b_t",1991,683764.034539321,528958.615390789,336691.17272185,1438847.56613488
"42","b_t",1992,753981.771551396,582627.266175714,373275.481917883,1546558.2490975
"43","b_t",1993,827159.097419478,639307.692354758,404535.650085659,1749590.24540658
"44","b_t",1994,877128.209491575,683098.856184503,428436.399520819,1837641.27445284
"45","b_t",1995,828136.853223657,655003.482986336,409439.25846428,1719257.29445578
"46","b_t",1996,689030.978227178,536683.12975859,336821.223277068,1437565.08840012
"47","b_t",1997,586563.959200075,464492.044774372,287311.051273436,1229880.70574691
"48","b_t",1998,497550.626909173,400819.225466364,238923.656630601,1012995.58696507
"49","b_t",1999,458897.551129357,362323.981853796,224609.245675063,946807.846617499
"50","b_t",2000,443571.010373875,342684.189877593,216820.294461332,934527.136785451
"51","b_t",2001,428415.078495479,330894.591628578,212997.84981627,868890.761844449
"52","b_t",2002,424154.920909393,327441.410612446,208051.310593255,889110.250249272
"53","b_t",2003,415280.753064354,317455.153523297,204864.94456204,869637.360014971
"54","b_t",2004,439709.198673062,340272.695016465,215129.070944515,901163.835688206
"55","b_t",2005,484022.915963322,373601.997392858,237689.507085697,982003.919186311
"56","b_t",2006,504729.7605755,387814.238110158,248766.72728678,1053672.45050587
"57","b_t",2007,443853.605574142,339936.17157621,219899.296851089,897765.899367855
"58","b_t",2008,443760.239567245,339527.09853715,217075.771471003,893317.974106994
"59","b_t",2009,442269.538500861,339712.094889906,217973.643593074,917983.586021863
"60","b_t",2010,382927.139803993,287698.566192302,189161.995825783,773508.550500363
"61","b_t",2011,360312.22993266,278245.487723958,176794.678549827,725795.954678837
"62","b_t",2012,355251.781893943,274678.147621015,174637.948038218,731985.401454127
"63","b_t",2013,352858.188584354,272288.82800232,174825.460438926,728524.68156717
"64","b_t",2014,331783.408558964,252994.719621697,163521.047192738,703698.944982891
"65","b_t",2015,312678.871176796,244278.851421077,152771.18099589,633940.363089819
"66","b_t",2016,305243.230700939,235172.386136202,146639.282071955,635505.652448452
"67","b_t",2017,299313.017612254,234687.43255112,143179.424194913,604678.871676561
"68","b_t",2018,289579.30828487,221607.160685676,141369.463154979,576566.444075925
"69","bmsy",1951,445898.410560934,300034.358297732,242578.109566871,856019.991923535
"70","ck",1951,0.0140827344542518,0.004729909284879,0.00607462449430288,0.0214363956692888
"71","ck",1952,0.0193637598745962,0.00650362526670863,0.00835260867966646,0.0294750440452722
"72","ck",1953,0.016520130802103,0.00554854743033883,0.00712600181062453,0.0251465410735888
"73","ck",1954,0.0159784871692472,0.00536662784245887,0.0068923624069975,0.0243220643170777
"74","ck",1955,0.0144889671788936,0.00486634897578898,0.00624985404702316,0.0220547532366722
"75","ck",1956,0.0138119126378238,0.00463894949093902,0.00595780479248937,0.0210241572910333
"76","ck",1957,0.0143535562706797,0.00482086907881899,0.0061914441961164,0.0218486340475444
"77","ck",1958,0.0208532798649497,0.00700390413337853,0.0089951170396408,0.0317423551256777
"78","ck",1959,0.0212595125895916,0.0071403438242885,0.00917034659236108,0.032360712693061
"79","ck",1960,0.0190929380581683,0.00641266547276865,0.00823578897785295,0.0290628056670166
"80","ck",1961,0.0203116362320939,0.00682198454549856,0.00876147763601377,0.0309178783691666
"81","ck",1962,0.0181450617006705,0.00609430619397872,0.00782692002150564,0.0276199713431222
"82","ck",1963,0.0201762253238799,0.00677650464852857,0.00870306778510701,0.0307117591800388
"83","ck",1964,0.0204470471403078,0.00686746444246855,0.00881988748692053,0.0311239975582944
"84","ck",1965,0.0209886907731637,0.00704938403034852,0.00905352689054756,0.0319484743148055
"85","ck",1966,0.0215303344060195,0.00723130361822848,0.0092871662941746,0.0327729510713166
"86","ck",1967,0.0215303344060195,0.00723130361822848,0.0092871662941746,0.0327729510713166
"87","ck",1968,0.0213949234978056,0.00718582372125849,0.00922875644326784,0.0325668318821888
"88","ck",1969,0.0234260871210149,0.00786802217580834,0.0101049042068692,0.0356586197191055
"89","ck",1970,0.0250279981651861,0.00840604935696333,0.0107958927430962,0.0380970097264871
"90","ck",1971,0.0270022892069456,0.00906914625478579,0.0116475083693167,0.0411022275039701
"91","ck",1972,0.0288452316677376,0.00968812765254736,0.0124424664401577,0.0439075096679991
"92","ck",1973,0.0252365309638356,0.00847608839829712,0.0108858439134926,0.0384144332777439
"93","ck",1974,0.0302237147133557,0.0101511130037019,0.0130370787223885,0.0460058030133199
"94","ck",1975,0.0304525591482373,0.0102279740295811,0.0131357913704209,0.0463541444429459
"95","ck",1976,0.0336238826186082,0.0112931132166183,0.0145037500786572,0.0511814558523184
"96","ck",1977,0.0360531543119667,0.01210902256826,0.0155516228039244,0.0548792341052707
"97","ck",1978,0.0338784551260505,0.0113786154229219,0.0146135605983619,0.0515689599278786
"98","ck",1979,0.030508077620605,0.0102466207873388,0.0131597394092927,0.0464386533104882
"99","ck",1980,0.033049740367781,0.0111002784534656,0.0142560923108125,0.0503075104904166
"100","ck",1981,0.0363321007828874,0.0122027111560181,0.0156719470967924,0.0553038396348739
"101","ck",1982,0.0419367582738632,0.014085124091606,0.0180895308258231,0.0638351128728726
"102","ck",1983,0.0492746753899776,0.0165496797084098,0.0212547606464603,0.0750047117317069
"103","ck",1984,0.056242920726668,0.0188900752064855,0.0242605315741221,0.0856116052042223
"104","ck",1985,0.0649769243064683,0.0218235285610499,0.0280279669576081,0.098906292902964
"105","ck",1986,0.0513410458493226,0.0172437029361719,0.0221460949712975,0.0781500905577968
"106","ck",1987,0.0530770136926256,0.0178267552153271,0.0228949092599221,0.0807925385624149
"107","ck",1988,0.0567317541053204,0.0190542576345472,0.0244713911358955,0.0863556954769736
"108","ck",1989,0.051722904610486,0.0173719562456272,0.0223108107508545,0.0787313466711371
"109","ck",1990,0.0454533795601797,0.0152662370159167,0.0196064346538716,0.069188028214521
"110","ck",1991,0.0516931142106789,0.0173619506682938,0.022297960583655,0.078686000449529
"111","ck",1992,0.0601725452830371,0.0202099018165546,0.0259555854474363,0.0915931840727104
"112","ck",1993,0.0700331676191776,0.0235217479139094,0.0302089907904664,0.106602783424995
"113","ck",1994,0.0709471912496218,0.0238287372184568,0.030603257284087,0.107994087951608
"114","ck",1995,0.0704245051439159,0.0236531848161526,0.0303777952595869,0.107198467881574
"115","ck",1996,0.0593316435430284,0.019927471656371,0.0255928602733053,0.0903131839082269
"116","ck",1997,0.0405636916645736,0.0136239579363303,0.0174972549376286,0.061745064295117
"117","ck",1998,0.0359448255853955,0.012072638650684,0.015504894923199,0.0547143387539685
"118","ck",1999,0.0326936096791783,0.0109806663244345,0.0141024744029278,0.0497654170230106
"119","ck",2000,0.0305459926749049,0.0102593551584904,0.0131760941675466,0.046496366683444
"120","ck",2001,0.0315805320136596,0.0106068215713412,0.0136223454284742,0.0480711172883802
"121","ck",2002,0.0293570849007864,0.00986004166309393,0.0126632556765852,0.0446866402029021
"122","ck",2003,0.0288384611223269,0.00968585365769886,0.0124395459476124,0.0438972037085427
"123","ck",2004,0.029615719735475,0.00994690826630661,0.0127748184918171,0.0450803278541362
"124","ck",2005,0.0371486285594176,0.0124769549347472,0.0160241584977601,0.0565467383453144
