"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,661864.318255955,1067126.51975604,141485.739092193,1827792.64117182
"2","b_t",1952,925083.18243944,1559284.3170164,181171.846878412,2643054.95192571
"3","b_t",1953,1058884.70304529,1847576.84084664,204336.173421867,2927054.61017641
"4","b_t",1954,960975.680283947,1782304.36567872,175858.403261778,2711074.29942113
"5","b_t",1955,678240.572532096,1169189.75594112,124887.910810686,1983344.99718575
"6","b_t",1956,701599.479822175,1204602.34410684,131776.676591453,1978380.63286488
"7","b_t",1957,777958.86597765,1360078.10051112,145150.89536282,2154492.53467492
"8","b_t",1958,886810.598207521,1510747.28763527,164702.979397975,2474124.53826707
"9","b_t",1959,817687.599546725,1396003.70369345,149326.168154509,2358904.41518542
"10","b_t",1960,706168.81576012,1200269.75422712,132222.460828635,2005042.60717146
"11","b_t",1961,652021.219847705,1131700.4387439,118837.708619609,1826519.37649403
"12","b_t",1962,840833.433437415,1414058.04856872,153534.6213083,2378020.46869951
"13","b_t",1963,1173735.55787587,1981920.50074899,218301.581136567,3348120.12930295
"14","b_t",1964,1326115.56805221,2196420.53391742,247345.29577062,3738543.68027822
"15","b_t",1965,995263.359077525,1675917.4658032,186970.253443147,2880304.69425898
"16","b_t",1966,789977.483369165,1279518.5825943,146482.627283796,2370606.01054805
"17","b_t",1967,710174.34628292,1151144.48617712,135323.994467512,2019244.28248114
"18","b_t",1968,709265.798990515,1205170.34235287,134861.04979672,2048881.95405439
"19","b_t",1969,768855.772775554,1337892.49294247,143836.588755837,2171610.00144986
"20","b_t",1970,864830.820038273,1523736.3207641,162982.932100462,2490865.3605992
"21","b_t",1971,995165.684722516,1687704.2977078,186892.968770323,2974046.42881073
"22","b_t",1972,1080607.84798035,1837131.24720772,200611.811374888,3058246.54344452
"23","b_t",1973,1111715.29396552,1851187.88816348,203722.208356962,3095983.96745816
"24","b_t",1974,1022410.05797665,1705322.5905393,192067.833229299,2947215.01013451
"25","b_t",1975,884132.03099126,1457315.55258618,165485.06483498,2607640.49575499
"26","b_t",1976,879105.337348297,1454693.16332123,167500.676824286,2554909.94693254
"27","b_t",1977,1010625.93371527,1690191.69423081,191428.097288175,2818652.94138651
"28","b_t",1978,1055191.52859745,1786299.70026526,197552.187090536,3012727.47495264
"29","b_t",1979,1416661.41390887,2440166.1426246,259178.64510753,3959873.45559242
"30","b_t",1980,1348871.01546492,2239971.30455626,259700.862175756,3701865.46986903
"31","b_t",1981,1168374.56472303,1923435.48304948,215962.555283436,3201607.14112158
"32","b_t",1982,1178099.45547248,1970441.71081663,220603.027290222,3325153.77860716
"33","b_t",1983,1030842.21127817,1777214.18223671,194582.896128746,2883758.79706931
"34","b_t",1984,871789.086690874,1503178.36254737,167819.186512964,2370609.65616966
"35","b_t",1985,716987.300288743,1190090.4423777,139314.484687815,2033001.78652539
"36","b_t",1986,701649.616943294,1246375.68016404,132863.045135575,1993356.33728026
"37","b_t",1987,693553.422904783,1232553.62445211,128747.629157912,1951358.27715718
"38","b_t",1988,548194.532130688,910645.522698836,104762.378455116,1565466.86584692
"39","b_t",1989,543843.022315893,900133.894068981,103533.430184014,1542408.17908698
"40","b_t",1990,528497.619909706,859688.083268864,101621.832694656,1509937.4574754
"41","b_t",1991,591099.34293121,971119.66983465,113815.377294856,1641121.2088062
"42","b_t",1992,726264.698012214,1187274.9045501,136130.981958508,2084129.05514144
"43","b_t",1993,831658.180255669,1448725.83493326,164360.843947809,2370251.29553149
"44","b_t",1994,924051.358169552,1579745.4910422,174932.320556104,2540163.58128021
"45","b_t",1995,903737.169327898,1518548.32792799,168373.289408214,2568898.18205362
"46","b_t",1996,926466.236317218,1554414.985834,177700.250371556,2681426.20446578
"47","b_t",1997,1104524.71810898,1807898.96586049,212573.438256541,3186273.22170208
"48","b_t",1998,1295209.75004553,2195670.63268423,252198.401028176,3701890.89767387
"49","b_t",1999,1220219.80972897,2052884.43401747,234414.605840409,3428975.91192291
"50","b_t",2000,1278670.75562014,2205916.61500837,241812.44035166,3675058.71858528
"51","b_t",2001,1149545.68736071,1843614.14471636,214661.478786096,3203914.74143156
"52","b_t",2002,837571.543006987,1364165.87793611,152939.911293152,2344271.46106615
"53","b_t",2003,648509.512391549,1049136.5061228,123267.482053331,1905220.29322938
"54","b_t",2004,574369.493390503,942381.579483301,109434.349841761,1605839.05518041
"55","b_t",2005,569869.683404518,933578.925000512,108714.355338741,1625715.56905611
"56","b_t",2006,585937.150909899,949856.49979504,114193.410786137,1687241.33733628
"57","b_t",2007,453542.544992755,792525.792560231,83889.902805766,1285049.89331023
"58","b_t",2008,329090.995014099,588031.464149052,60396.388741815,925204.022039102
"59","b_t",2009,271606.540520935,470396.585975213,51264.6192898363,766121.555181896
"60","b_t",2010,225372.137103363,379986.313815173,43710.7398792834,643518.216888851
"61","b_t",2011,198841.90429352,343569.018384096,37813.8832605676,584305.78666539
