"","variable","year","mean","sd","lower","upper"
"1","b_t",2006,2408.12338424792,1055.58795619911,1364.66912755856,4255.15561766372
"2","b_t",2007,2064.18692672687,998.410442233388,1091.4547608121,3685.31656951818
"3","b_t",2008,2034.42676817455,1006.6312797075,1054.83259165083,3753.1043665941
"4","b_t",2009,2481.56799478069,1215.53759912726,1313.06252945415,4568.46426190715
"5","b_t",2010,2596.59214034978,1287.76471040754,1363.33566215944,4808.68870198079
"6","b_t",2011,2838.29936403601,1391.54069043537,1459.70293159484,5233.7372822654
"7","b_t",2012,2830.19479612681,1435.23204700926,1445.84528757104,5214.98243205521
"8","b_t",2013,2965.78410910625,1552.13330619116,1517.1267638517,5503.0979074595
"9","b_t",2014,3013.58588567741,1525.78449049765,1527.43013765851,5633.82367759315
"10","b_t",2015,2493.96964060314,1306.82246470734,1278.1142784293,4664.9414790727
"11","b_t",2016,1955.80411129095,1077.12095943861,983.203497770761,3769.20891238776
"12","b_t",2017,1537.997672614,843.457484185868,783.220096983466,2872.6757901839
"13","b_t",2018,1186.8915812467,564.49780285228,614.236012827576,2161.92419491467
"14","bmsy",2006,1711.30893819312,698.180837507515,1028.05561770994,2920.77622224901
"15","ck",2006,0.0917080781094566,0.027768924243906,0.0479325849730798,0.136179402741431
"16","ck",2007,0.0966210108653204,0.0292565451855438,0.0505004020252091,0.143474727888293
"17","ck",2008,0.0802445683457745,0.0242978087134178,0.0419410118514448,0.119156977398752
"18","ck",2009,0.120858145794248,0.0365954751642904,0.0631682994823802,0.179464998612814
"19","ck",2010,0.133304242109103,0.0403641148831062,0.069673436014441,0.197946488984866
"20","ck",2011,0.152628444282167,0.046215423920215,0.0797735164194828,0.226641434562524
"21","ck",2012,0.132649184408321,0.0401657654242212,0.0693310604074904,0.196973778965284
"22","ck",2013,0.148043040376694,0.0448269777080197,0.0773768871708288,0.219832464425453
"23","ck",2014,0.167694771400149,0.050777461474571,0.0876481553793459,0.249013765012902
"24","ck",2015,0.141492463368876,0.0428434831191693,0.0739531311013231,0.210105364229636
"25","ck",2016,0.135269415211448,0.0409591632597614,0.0707005628352927,0.20086461904361
"26","ck",2017,0.130028953605194,0.039372367588681,0.0679615579796881,0.193082938886957
"27","ck",2018,0.0949833666133658,0.0287606715383312,0.0496444630078327,0.141042952839339
"28","crashed",2006,0,0,0,0
"29","delta",2006,100,0,100,100
"30","dep_t",2006,0.700563749748892,0.0720244813819048,0.595333129610493,0.818267969647964
"31","dep_t",2007,0.597994452218104,0.104293342354583,0.452650202173251,0.772866809522809
"32","dep_t",2008,0.58802467254888,0.105053974928778,0.438724890530698,0.775425952589641
"33","dep_t",2009,0.718980580234406,0.131176411509305,0.541594928845859,0.94776958620914
"34","dep_t",2010,0.752228289907615,0.140700178550946,0.56120535672303,0.998704429923447
"35","dep_t",2011,0.820924567170936,0.153120447161778,0.606842942548067,1.08780975746597
"36","dep_t",2012,0.815699673078644,0.149178421948612,0.609194210313902,1.06895687766524
"37","dep_t",2013,0.853201393801572,0.153921900525965,0.636860014220985,1.10686538014507
"38","dep_t",2014,0.868550910415482,0.165071580841435,0.641165244724507,1.16307265014428
"39","dep_t",2015,0.717630300079688,0.136966646860924,0.525599144177184,0.942834969474392
"40","dep_t",2016,0.562696112730268,0.127929330559733,0.39433169541195,0.789408874305662
"41","dep_t",2017,0.442116534583917,0.0943674999869749,0.319346970556542,0.591398772005701
"42","dep_t",2018,0.342832300538478,0.0536712927506842,0.264710894959615,0.43428735806374
"43","growth_t",2006,0.110993012499482,0.0276643392068578,0.0693610061331934,0.154789012732654
"44","growth_t",2007,0.124623828792412,0.0321186528808291,0.0806067239470809,0.172299321748267
"45","growth_t",2008,0.12559826993289,0.0295694338089988,0.0817158809379826,0.171696456525821
"46","growth_t",2009,0.100312251634874,0.0468751680230304,0.0225868063290231,0.157851725141843
"47","growth_t",2010,0.0904686073701835,0.0567460871432409,0.000687933143207318,0.156555799583811
"48","growth_t",2011,0.0679939944079791,0.0680571832487908,-0.0520212648835762,0.144156546698197
"49","growth_t",2012,0.0706362263954731,0.0688886724663571,-0.0367335448801865,0.145383467033522
"50","growth_t",2013,0.0562752116156931,0.0725508657590868,-0.0591799379544953,0.136090566777119
"51","growth_t",2014,0.0476145813983328,0.0826427857262729,-0.102921435308385,0.137294380757012
"52","growth_t",2015,0.100157988732842,0.0486222246006455,0.0265183215759392,0.160119025959882
"53","growth_t",2016,0.124533102832979,0.0345033478282556,0.0807021753570527,0.171513489784461
"54","growth_t",2017,0.128915987681767,0.0277116137773744,0.0926719417772364,0.172975888971404
"55","growth_t",2018,0.120677445157468,0.0243111958970721,0.0863131398467354,0.162137419170813
"56","index_hat_t",2006,2408.12338424792,1055.58795619911,1364.66912755856,4255.15561766372
"57","index_hat_t",2007,2064.18692672687,998.410442233388,1091.4547608121,3685.31656951818
"58","index_hat_t",2008,2034.42676817455,1006.6312797075,1054.83259165083,3753.1043665941
"59","index_hat_t",2009,2481.56799478069,1215.53759912726,1313.06252945415,4568.46426190715
"60","index_hat_t",2010,2596.59214034978,1287.76471040754,1363.33566215944,4808.68870198079
"61","index_hat_t",2011,2838.29936403601,1391.54069043537,1459.70293159484,5233.7372822654
"62","index_hat_t",2012,2830.19479612681,1435.23204700926,1445.84528757104,5214.98243205521
"63","index_hat_t",2013,2965.78410910625,1552.13330619116,1517.1267638517,5503.0979074595
"64","index_hat_t",2014,3013.58588567741,1525.78449049765,1527.43013765851,5633.82367759315
"65","index_hat_t",2015,2493.96964060314,1306.82246470734,1278.1142784293,4664.9414790727
"66","index_hat_t",2016,1955.80411129095,1077.12095943861,983.203497770761,3769.20891238776
"67","index_hat_t",2017,1537.997672614,843.457484185868,783.220096983466,2872.6757901839
"68","index_hat_t",2018,1186.8915812467,564.49780285228,614.236012827576,2161.92419491467
"69","k",2006,3422.61787638625,1396.36167501503,2056.11123541988,5841.55244449802
"70","log_b",2006,7.71462973329608,0.361586495093627,7.21866727096452,8.35588607536919
"71","log_b",2007,7.54716163854076,0.393596262909741,6.9952667249249,8.21211163571397
"72","log_b",2008,7.52890031969621,0.402411949641258,6.96113730524046,8.23033860746816
"73","log_b",2009,7.72962459408693,0.397214324458717,7.18011745521882,8.42693229917769
"74","log_b",2010,7.77399252059249,0.399328260658328,7.21768966821183,8.47817824644146
"75","log_b",2011,7.86151133512414,0.4050130034105,7.2859882100744,8.56288086267861
"76","log_b",2012,7.85596539055896,0.408747516372797,7.27644939134385,8.55929033369128
"77","log_b",2013,7.90098783322404,0.410510105366271,7.32457353542194,8.61306641495542
"78","log_b",2014,7.91725457383674,0.411580498020603,7.33134192032275,8.63654364775604
"79","log_b",2015,7.72607924441583,0.414631288198576,7.15313832780951,8.44783056359526
"80","log_b",2016,7.47624109016538,0.427421399268444,6.89081610113869,8.23461984403873
"81","log_b",2017,7.23873334691074,0.419430164563066,6.66341373120361,7.96299913496278
"82","log_b",2018,6.99312822227031,0.398342208334902,6.42037923683037,7.67875367411046
"83","log_b_div_bmsy",2006,0.332118832565815,0.101160212195329,0.174513011598981,0.492581773023915
"84","log_b_div_bmsy",2007,0.164650737810488,0.167782494951621,-0.0994884527102833,0.435498631548961
"85","log_b_div_bmsy",2008,0.146389418965944,0.178082694454854,-0.130735556036153,0.438804395694705
"86","log_b_div_bmsy",2009,0.347113693356659,0.179264420794824,0.0799102028129306,0.639503271225742
