"","variable","year","mean","sd","lower","upper"
"1","b_t",2005,961.066574305275,437.630579212282,579.343079940672,1607.19545444609
"2","b_t",2006,903.276616471959,468.744244170055,480.218638630006,1598.1400732065
"3","b_t",2007,760.219384646126,438.699392160181,383.666784423067,1395.46054699635
"4","b_t",2008,673.231952412277,384.723929342638,358.861772626216,1216.44459139044
"5","b_t",2009,709.558888986574,379.272331065626,505.458601042089,1207.00258568463
"6","b_t",2010,587.236250510859,335.372730712131,361.99005649652,1033.06705260186
"7","b_t",2011,413.04929221232,238.642393729857,266.727343332301,721.910974297406
"8","b_t",2012,311.238349414266,190.713269750144,184.83961477807,564.284045436793
"9","b_t",2013,226.167572372485,141.649068205991,123.250789907585,428.436124327196
"10","b_t",2014,191.082260584964,115.5798538884,92.9620287297644,359.443914360073
"11","b_t",2015,218.286165449921,122.447356360398,114.25866936081,399.811067567863
"12","b_t",2016,255.584706980511,155.16112327106,112.090580820678,473.785288770559
"13","b_t",2017,319.182881294129,168.28292242754,174.841219919652,536.765964415734
"14","b_t",2018,367.940728989367,177.621786540642,199.081481972155,621.178755180963
"15","bmsy",2005,634.745574045313,282.018716957667,393.716818428309,1037.27815694073
"16","ck",2005,0.249766201738343,0.0789111197623672,0.134968620080417,0.355585520981477
"17","ck",2006,0.28009495480657,0.0884931843049403,0.151357666804468,0.398763762814942
"18","ck",2007,0.263146533974326,0.0831385011782083,0.142199081870439,0.374634745319771
"19","ck",2008,0.198920939241609,0.062847070382171,0.107492865278332,0.283198468495962
"20","ck",2009,0.207841160732264,0.0656653246593984,0.112313173138347,0.295897951388158
"21","ck",2010,0.235493847353295,0.0744019129188033,0.127256127504393,0.335266348353964
"22","ck",2011,0.135587366657958,0.0428374650138565,0.0732686794722263,0.193032139961373
"23","ck",2012,0.108826702185992,0.0343827021821743,0.0588077558921817,0.154933691284787
"24","ck",2013,0.0677936833289788,0.0214187325069282,0.0366343397361132,0.0965160699806867
"25","ck",2014,0.0499532403476686,0.0157822239524734,0.0269937240160834,0.0711171041962955
"26","ck",2015,0.0642255947327168,0.0202914307960373,0.0347062165921072,0.0914362768238085
"27","ck",2016,0.0722537940743064,0.0228278596455419,0.0390444936661206,0.102865811426785
"28","ck",2017,0.0722537940743064,0.0228278596455419,0.0390444936661206,0.102865811426785
"29","ck",2018,0.0481691960495376,0.015218573097028,0.0260296624440804,0.0685772076178564
"30","crashed",2005,0,0,0,0
"31","delta",2005,100,0,100,100
"32","dep_t",2005,0.756302483287738,0.0625333452204586,0.663557084962148,0.873980010065389
"33","dep_t",2006,0.70066151728602,0.121627163000677,0.56656191007751,0.918751426246226
"34","dep_t",2007,0.585542204646874,0.118716705113035,0.464110676379478,0.806860401900813
"35","dep_t",2008,0.521824008100987,0.102596497178031,0.409524408046764,0.703442392660798
"36","dep_t",2009,0.573185184693412,0.120792303416927,0.401930159983796,0.733001100302319
"37","dep_t",2010,0.462674097126273,0.0866406465254339,0.34377478284447,0.598075107449318
"38","dep_t",2011,0.326739063088002,0.0616504939706764,0.236154871323596,0.413878903538347
"39","dep_t",2012,0.242710946717911,0.0469865123325615,0.182570865011073,0.323225619084638
"40","dep_t",2013,0.174436974144212,0.0360631221428228,0.131995312889346,0.239515980953264
"41","dep_t",2014,0.146093427183398,0.0335817222273345,0.114309363228343,0.208618899262347
"42","dep_t",2015,0.168989714434288,0.0316247152474174,0.134121841136834,0.226476801931438
"43","dep_t",2016,0.194504939537254,0.0449477761218635,0.140620236687655,0.274765038177087
"44","dep_t",2017,0.251698630785822,0.0471746804148024,0.185767709799522,0.330315561932001
"45","dep_t",2018,0.290097242759707,0.0430239946387686,0.228203504081403,0.361538655044806
"46","growth_t",2005,0.111426381977754,0.0370589076107442,0.0519106111951909,0.160645811231635
"47","growth_t",2006,0.122796945549775,0.0589759191158633,0.034970239317948,0.196056814199804
"48","growth_t",2007,0.14183589680744,0.0498051050168027,0.0745040661139459,0.205280700393896
"49","growth_t",2008,0.147341989019069,0.0437028435205363,0.0872660226827835,0.203735859220844
"50","growth_t",2009,0.139754352814771,0.0377520688676678,0.090452666033882,0.187228060947785
"51","growth_t",2010,0.148317034837877,0.0423836985727935,0.0927394074920662,0.203843626036078
"52","growth_t",2011,0.133254889252854,0.0385904992898325,0.0806529944784936,0.185343862088448
"53","growth_t",2012,0.111087052891165,0.0298027259713739,0.0680682380809108,0.149683883350505
"54","growth_t",2013,0.0866659713692922,0.021853417248983,0.0522472753664328,0.113372153494176
"55","growth_t",2014,0.0742438687614702,0.0169205612408151,0.0472502510151099,0.0950205576356445
"56","growth_t",2015,0.0845041980580538,0.0204359072179552,0.0533986803133963,0.111567950516922
"57","growth_t",2016,0.0927412487359046,0.0200913829824276,0.0601651623908799,0.121750839944569
"58","growth_t",2017,0.1144614546378,0.0334627939315333,0.0674888686630386,0.16785939776468
"59","growth_t",2018,0.125315547300693,0.0344328865620576,0.0770927460390736,0.181410528016973
