"","variable","year","mean","sd","lower","upper"
"1","b_t",1973,5745.69997323033,1284.99572518776,5380.50927753316,7528.35925022461
"2","b_t",1974,7532.43648676723,1850.43719501989,7060.51320406591,9270.69704306542
"3","b_t",1975,7861.33638694864,2130.72183605714,7174.35622367278,9773.5886692977
"4","b_t",1976,8333.56797051337,1582.72309299524,6547.40029620175,9432.88864412062
"5","b_t",1977,6442.14150083535,1506.73243300065,5754.04984814743,7517.86473596085
"6","b_t",1978,5678.7929154306,1477.28614133315,5245.15380913933,7274.13431149223
"7","b_t",1979,5986.27534413735,1588.40507130401,5491.36217851605,7894.81889001104
"8","b_t",1980,5723.30034619172,1565.7676278234,5139.312314367,7838.51578863258
"9","b_t",1981,4904.38803890708,1543.721967819,4351.77068491843,7353.29947179422
"10","b_t",1982,4652.23375356001,1431.2213805976,4206.93556756747,6370.01489291556
"11","b_t",1983,3474.24812382867,1206.92646201023,3070.49425683147,5069.22687123158
"12","b_t",1984,3069.26698934492,915.785441301762,2742.41999633319,4403.58779898018
"13","b_t",1985,2975.33273881326,843.059219459594,2724.53327208926,3911.11125872331
"14","b_t",1986,2867.94160828289,865.669489330062,2586.73302363577,4016.05348784269
"15","b_t",1987,2631.08553297523,805.517316022706,2374.12148431636,3787.96825393407
"16","b_t",1988,2819.6757994187,759.679169330957,2585.46728197814,3862.29568131722
"17","b_t",1989,2873.82599390104,820.426806104082,2626.59025674886,4024.00606973151
"18","b_t",1990,2859.77043229137,760.352698060897,2617.60752780154,3842.98821900612
"19","b_t",1991,2677.92625068872,814.050909430371,2409.76431991545,3741.01968703372
"20","b_t",1992,2612.06925194767,795.44235654242,2328.93265564763,3671.10404082909
"21","b_t",1993,2684.35765736579,647.422485344076,2483.45580617664,3436.3617171489
"22","b_t",1994,2338.85523515062,545.121767421089,2178.9786464255,2795.3834175927
"23","b_t",1995,1838.1213255624,473.48900199113,1675.00754103601,2303.63083444297
"24","b_t",1996,1480.31457541965,479.099496554282,1295.48785127573,2055.4129672588
"25","b_t",1997,1565.64531476652,368.991103077025,1407.1219389395,2048.6835515959
"26","b_t",1998,1868.44334443842,406.036347023544,1685.99482090445,2293.08716518341
"27","b_t",1999,3103.68479455175,654.618227545997,2729.51084480492,3770.27537354676
"28","b_t",2000,4324.77190373038,957.798568044433,3790.70522703429,5188.07784129305
"29","b_t",2001,3672.01514139105,1065.09421994475,3212.96766232661,5195.51883715995
"30","b_t",2002,4943.74412565017,973.73952068907,4342.16147780649,5653.68808490663
"31","b_t",2003,4602.09093581692,974.994971681985,4076.02210240353,5211.06603302684
"32","b_t",2004,4659.23509158914,1188.57839698604,4126.70209042317,6276.69757077601
"33","b_t",2005,8394.07076941984,1793.97914691108,7557.36464671622,10598.8476324414
"34","b_t",2006,6821.9800460576,1792.17759616502,6210.05426192061,8594.96135716075
"35","b_t",2007,6010.03978830248,1156.29065610991,5271.288776173,6495.53635221996
"36","b_t",2008,4107.53509034114,1035.09824363915,3690.65112192757,5288.78906186501
"37","b_t",2009,4397.9069137331,992.092577707964,4040.13639089402,5481.61933216388
"38","b_t",2010,4243.48592049008,1106.01055661862,3867.17389703238,5494.80258449396
"39","b_t",2011,4231.8779330756,1085.81152493973,3824.37820544553,5726.02995929299
"40","b_t",2012,2843.77415337286,846.30752141027,2499.32924666169,4025.67161264344
"41","b_t",2013,3938.70368787016,733.989125975631,3494.1592593637,4549.90251110893
"42","b_t",2014,3614.81628601126,640.448876443923,3281.14657489762,4104.68524031549
"43","b_t",2015,2797.34536398525,711.181778563395,2463.83815885873,3685.83723315354
"44","b_t",2016,2955.9793744665,677.923772154181,2589.20665091829,3849.20834537702
"45","b_t",2017,2611.2586586353,646.091537355357,2247.05285414964,3454.33867136465
"46","b_t",2018,2553.94359171164,512.569990883079,2146.72209456908,3178.27492169519
"47","bmsy",1973,4531.04375441055,605.288825401711,4250.1644838554,4842.73515441782
"48","ck",1973,0.0667907104319174,0.00475267063787802,0.0619485008793437,0.0705855034976688
"49","ck",1974,0.127458939074242,0.00906967980061723,0.118218389178081,0.134700669174718
"50","ck",1975,0.158850572977244,0.0113034350004199,0.147334184591372,0.167875855818622
"51","ck",1976,0.143933980980782,0.0102420052246271,0.133499019394986,0.152111760037476
"52","ck",1977,0.103191647617312,0.00734287613552155,0.095710433858586,0.109054602903898
"53","ck",1978,0.100297383498596,0.00713692707454683,0.0930259988204811,0.105995897752333
"54","ck",1979,0.111985757824181,0.00796864443617549,0.103866986474366,0.118348360864425
"55","ck",1980,0.127013667671363,0.00903799532969804,0.117805399172219,0.1342300991514
"56","ck",1981,0.127570256924962,0.00907760091834702,0.118321636679546,0.134818311680547
"57","ck",1982,0.124230721403366,0.00883996738645312,0.115224211635579,0.131289036505664
"58","ck",1983,0.107199090243227,0.00762803637379423,0.0994273439113466,0.113289733113758
"59","ck",1984,0.0908353661874076,0.00646363206751411,0.0842499611959074,0.0959962847568296
"60","ck",1985,0.0869392414122125,0.00618639294697123,0.0806362986446124,0.0918787970527989
"61","ck",1986,0.0990728871406775,0.00704979477951907,0.0918902763043598,0.104701830188209
"62","ck",1987,0.0938409481568439,0.00667750224621862,0.0870376437354779,0.0991726324142246
"63","ck",1988,0.107644361646107,0.00765972084471341,0.0998403339172089,0.113760303137076
